Id,Target
001bcdd2-bbb2-11e8-b2ba-ac1f6b6435d0,0
002679c2-bbb6-11e8-b2ba-ac1f6b6435d0,0
003feb6e-bbca-11e8-b2bc-ac1f6b6435d0,0
0067cae4-bb9d-11e8-b2b9-ac1f6b6435d0,0
00751f10-bbab-11e8-b2ba-ac1f6b6435d0,0
00855996-bbad-11e8-b2ba-ac1f6b6435d0,0
00b580c6-bbb2-11e8-b2ba-ac1f6b6435d0,0
00c76b88-bbb2-11e8-b2ba-ac1f6b6435d0,0
01095156-bbb7-11e8-b2ba-ac1f6b6435d0,0
011364f4-bba1-11e8-b2b9-ac1f6b6435d0,0
000c99ba-bba4-11e8-b2b9-ac1f6b6435d0,1
01f3e0da-bb9f-11e8-b2b9-ac1f6b6435d0,1
02e27b14-bba9-11e8-b2ba-ac1f6b6435d0,1
0651f94a-bbb4-11e8-b2ba-ac1f6b6435d0,1
069310d0-bbb7-11e8-b2ba-ac1f6b6435d0,1
06eff580-bbb6-11e8-b2ba-ac1f6b6435d0,1
0770dca8-bba8-11e8-b2ba-ac1f6b6435d0,1
0881d08c-bb9b-11e8-b2b9-ac1f6b6435d0,1
0905b28c-bbad-11e8-b2ba-ac1f6b6435d0,1
0dcae53e-bba9-11e8-b2ba-ac1f6b6435d0,1
005ccb94-bbca-11e8-b2bc-ac1f6b6435d0,2
007811e6-bbbc-11e8-b2ba-ac1f6b6435d0,2
009e88e0-bbc5-11e8-b2bc-ac1f6b6435d0,2
00b1b8b8-bba5-11e8-b2ba-ac1f6b6435d0,2
00ed296c-bbb3-11e8-b2ba-ac1f6b6435d0,2
00f42960-bbb3-11e8-b2ba-ac1f6b6435d0,2
0115f496-bbb8-11e8-b2ba-ac1f6b6435d0,2
01b54382-bb9c-11e8-b2b9-ac1f6b6435d0,2
01bc4dc6-bbbf-11e8-b2ba-ac1f6b6435d0,2
021eacc4-bba0-11e8-b2b9-ac1f6b6435d0,2
006f5b04-bbb3-11e8-b2ba-ac1f6b6435d0,3
00c9616e-bba7-11e8-b2ba-ac1f6b6435d0,3
00cb9586-bbc2-11e8-b2bb-ac1f6b6435d0,3
011945ae-bbb5-11e8-b2ba-ac1f6b6435d0,3
018004a0-bbb1-11e8-b2ba-ac1f6b6435d0,3
01eea150-bba5-11e8-b2ba-ac1f6b6435d0,3
0217b490-bb9c-11e8-b2b9-ac1f6b6435d0,3
029f7ac0-bbb9-11e8-b2ba-ac1f6b6435d0,3
0359527c-bbbb-11e8-b2ba-ac1f6b6435d0,3
038f6bd0-bba9-11e8-b2ba-ac1f6b6435d0,3
00e77c9c-bbc2-11e8-b2bb-ac1f6b6435d0,4
0148ee6a-bba3-11e8-b2b9-ac1f6b6435d0,4
0189cff8-bbc0-11e8-b2bb-ac1f6b6435d0,4
01b79bd0-bba3-11e8-b2b9-ac1f6b6435d0,4
0246331e-bbc0-11e8-b2bb-ac1f6b6435d0,4
0264fdd4-bbb7-11e8-b2ba-ac1f6b6435d0,4
0288d6f4-bbc2-11e8-b2bb-ac1f6b6435d0,4
029df10a-bbaf-11e8-b2ba-ac1f6b6435d0,4
03451a40-bbb2-11e8-b2ba-ac1f6b6435d0,4
03561dea-bbb2-11e8-b2ba-ac1f6b6435d0,4
000a9596-bbc4-11e8-b2bc-ac1f6b6435d0,5
006a8c72-bbc8-11e8-b2bc-ac1f6b6435d0,5
00c96be4-bbb8-11e8-b2ba-ac1f6b6435d0,5
00e96ea4-bbc1-11e8-b2bb-ac1f6b6435d0,5
00fe597e-bbc9-11e8-b2bc-ac1f6b6435d0,5
015ed0d8-bbbf-11e8-b2ba-ac1f6b6435d0,5
01939a1a-bbc5-11e8-b2bc-ac1f6b6435d0,5
019687da-bbb0-11e8-b2ba-ac1f6b6435d0,5
0228a6e2-bba6-11e8-b2ba-ac1f6b6435d0,5
027c2e8a-bb9b-11e8-b2b9-ac1f6b6435d0,5
00b9bdcc-bbca-11e8-b2bc-ac1f6b6435d0,6
00df1310-bbca-11e8-b2bc-ac1f6b6435d0,6
01028112-bbb4-11e8-b2ba-ac1f6b6435d0,6
018dd9a2-bbc2-11e8-b2bb-ac1f6b6435d0,6
0240e7f6-bbac-11e8-b2ba-ac1f6b6435d0,6
0271c9e4-bbab-11e8-b2ba-ac1f6b6435d0,6
02e42082-bbad-11e8-b2ba-ac1f6b6435d0,6
02fb44fc-bbac-11e8-b2ba-ac1f6b6435d0,6
033c214a-bbb4-11e8-b2ba-ac1f6b6435d0,6
0392f4c4-bbba-11e8-b2ba-ac1f6b6435d0,6
002daad6-bbc9-11e8-b2bc-ac1f6b6435d0,7
005a78ec-bbae-11e8-b2ba-ac1f6b6435d0,7
009b8c20-bbc6-11e8-b2bc-ac1f6b6435d0,7
00b6c386-bba9-11e8-b2ba-ac1f6b6435d0,7
00bd4376-bbbf-11e8-b2ba-ac1f6b6435d0,7
014927fe-bb9e-11e8-b2b9-ac1f6b6435d0,7
018bc484-bba7-11e8-b2ba-ac1f6b6435d0,7
01bc5bf4-bbc4-11e8-b2bc-ac1f6b6435d0,7
01d7fd92-bb9b-11e8-b2b9-ac1f6b6435d0,7
01da7d44-bbad-11e8-b2ba-ac1f6b6435d0,7
059462b0-bbc1-11e8-b2bb-ac1f6b6435d0,8
1900d278-bbc3-11e8-b2bc-ac1f6b6435d0,8
2b538cdc-bb9a-11e8-b2b9-ac1f6b6435d0,8
3ab3ef96-bba4-11e8-b2b9-ac1f6b6435d0,8
57a4828e-bba2-11e8-b2b9-ac1f6b6435d0,8
5f9d5f04-bbb8-11e8-b2ba-ac1f6b6435d0,8
6465c736-bb9c-11e8-b2b9-ac1f6b6435d0,8
6742f11c-bbc0-11e8-b2bb-ac1f6b6435d0,8
6b083466-bbc9-11e8-b2bc-ac1f6b6435d0,8
767d86d0-bbb4-11e8-b2ba-ac1f6b6435d0,8
0e029d2e-bbbf-11e8-b2ba-ac1f6b6435d0,9
1baf483a-bbad-11e8-b2ba-ac1f6b6435d0,9
2113db02-bbca-11e8-b2bc-ac1f6b6435d0,9
245abe2a-bbca-11e8-b2bc-ac1f6b6435d0,9
28db4566-bbaa-11e8-b2ba-ac1f6b6435d0,9
332d3b76-bbac-11e8-b2ba-ac1f6b6435d0,9
5e41a83e-bb9c-11e8-b2b9-ac1f6b6435d0,9
62b47c56-bbbb-11e8-b2ba-ac1f6b6435d0,9
6a5d50c6-bbad-11e8-b2ba-ac1f6b6435d0,9
6b54dc7e-bbc1-11e8-b2bb-ac1f6b6435d0,9
0047c984-bba6-11e8-b2ba-ac1f6b6435d0,11
